Data record 10/15,Not slowed,slowed,slower,slowest,Not slowed
,118,118,2,-2,8
,92,120,2,-2,6
,52,120,2,-2,4
,32,118,0,-2,2
,20,118,0,-2,2
,12,118,2,0,0
,6,118,0,0,0
,4,118,0,0,0
,2,122,0,0,0
,2,120,0,0,0
,0,120,0,0,0
,0,120,0,0,0
,6,118,0,0,0
,0,118,4,2,0
,-2,120,-2,0,-2
,0,80,0,0,-2
,-2,46,0,0,-2
,-2,28,0,2,-2
,-2,16,-2,0,0
,-2,10,-4,0,-2
,-2,6,-2,2,0
,-2,2,-2,2,-2
,-2,2,0,2,-2
,-2,2,-2,2,-2
,-2,2,-2,2,-2
,-2,0,-2,0,0
,-2,0,-2,2,-2
,0,0,-2,2,-2
,-2,0,-2,2,0
,-2,-2,0,2,-2
,-2,0,-2,2,-2
,-2,0,-2,0,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,120
,-2,-2,-2,4,120
,-2,4,-2,0,120
,-2,-2,-2,2,120
,-2,-2,-2,2,118
,-2,0,-2,2,120
,122,-2,0,0,118
,120,0,2,2,118
,118,-2,-2,2,124
,118,-2,-2,0,118
,118,-2,0,0,118
,118,-2,0,2,118
,120,-2,0,2,120
,120,-2,0,0,118
,118,-2,0,0,118
,118,-2,0,0,120
,120,-2,0,0,120
,118,-2,0,0,120
,118,-2,0,0,118
,120,-2,0,0,118
,118,-2,0,0,118
,118,-2,0,0,118
,120,-2,2,0,118
,120,0,2,0,120
,118,0,120,4,120
,120,0,120,-2,120
,118,120,118,-2,118
,120,120,118,0,120
,118,120,120,-2,120
,118,118,120,-2,118
,118,120,120,-4,118
,118,122,118,-2,118
,120,118,120,-2,120
,118,118,120,0,120
,118,120,118,-2,118
,122,120,118,-2,118
,120,118,118,-2,118
,120,118,118,-2,120
,120,118,120,-2,118
,120,120,118,-2,118
,118,120,120,0,70
,118,120,118,-2,40
,120,118,118,-2,24
,118,120,120,-2,22
,120,118,118,-4,10
,78,118,118,-2,6
,44,120,120,-2,4
,28,118,118,2,2
,16,118,118,-2,2
,10,118,118,-2,2
,6,120,120,120,0
,4,120,118,120,0
,2,118,118,120,2
,2,118,120,118,2
,0,120,118,118,0
,0,118,118,118,0
,0,118,120,118,0
,0,120,118,118,0
,0,118,118,118,0
,0,118,118,118,0
,0,120,120,118,-2
,0,118,118,118,0
,-2,118,120,120,-2
,-2,120,118,118,-2
,0,120,118,118,-2
,-2,118,118,118,0
,-2,120,118,120,-2
,-2,118,118,118,-2
,-2,118,120,118,-2
,-2,120,120,118,-2
,-2,118,118,126,-2
,-2,118,120,118,-2
,-2,70,120,120,0
,-2,40,118,118,0
,-2,24,118,118,-2
,0,14,118,120,-2
,-2,10,118,120,-2
,-2,6,120,118,-2
,-2,2,120,118,0
,-2,0,118,120,120
,-2,0,118,118,120
,-2,0,118,118,120
,-4,0,122,118,120
,-2,2,118,120,120
,118,-2,118,118,118
,118,-2,118,120,120
,120,-2,118,118,118
,120,-2,120,118,120
,118,-2,116,118,118
,118,-2,64,120,120
,120,-2,38,120,118
,118,-2,22,118,120
,118,0,14,118,118
,120,-2,8,118,118
,118,-2,4,120,120
,120,-2,2,120,120
,120,-2,2,120,118
,118,-2,2,118,118
,120,-2,0,120,120
,118,0,0,122,118
,120,-2,0,120,118
,118,-2,0,120,120
,120,-2,0,120,118
,120,0,0,118,118
,118,0,2,118,118
,118,0,8,118,120
,120,0,2,118,118
,118,-2,2,118,120
,118,0,2,118,120
,118,0,2,118,118
,120,0,2,118,120
,118,0,0,118,120
,120,6,2,118,118
,120,0,2,120,124
,118,0,2,118,118
,118,0,2,120,118
,124,0,2,118,120
,118,0,2,118,118
,118,118,2,118,118
,120,120,0,118,66
,120,120,2,118,38
,120,120,2,118,24
,120,120,2,120,14
,98,120,2,118,10
,56,118,2,118,8
,34,118,2,120,4
,22,118,2,118,2
,14,118,2,118,2
,8,120,4,120,2
,4,120,2,120,2
,4,118,2,120,2
,2,118,0,118,0
,2,118,0,118,0
,2,118,0,118,0
,2,118,4,118,0
,0,118,0,118,0
,0,118,0,120,0
,0,118,0,118,0
,0,120,0,120,0
,0,118,0,120,0
,0,118,0,118,-2
,0,118,0,118,0
,0,118,0,118,0
,0,118,0,118,0
,0,118,0,118,-2
,6,120,0,122,-2
,-2,118,-2,118,0
,-2,120,0,118,-2
,0,120,-2,118,4
,-2,120,-2,118,-2
,-2,118,-2,118,-2
,-4,118,-2,118,-2
,-2,118,-2,118,-2
,-2,118,-2,118,-2
,-2,120,118,118,0
,-2,118,118,118,-2
,-2,118,120,118,-2
,0,120,122,118,-2
,-2,120,120,120,120
,-2,118,118,118,118
,-2,118,120,120,118
,-2,118,118,120,120
,-2,118,118,118,120
,118,118,120,82,118
,118,76,120,48,120
,120,40,118,30,118
,118,24,118,18,118
,118,14,120,12,118
,120,8,118,14,118
,118,4,118,4,120
,120,2,118,4,120
,120,0,120,4,120
,118,-2,118,2,120
,118,0,120,2,120
,120,-2,118,4,118
,118,0,118,2,118
,118,-2,118,2,120
,118,-4,118,2,118
,118,-2,120,2,118
,118,-2,120,0,118
,118,-2,122,2,120
,120,-2,120,0,118
,118,-2,118,0,118
,118,-2,120,0,124
,120,-2,118,2,118
,120,-2,118,0,118
,120,0,122,0,118
,118,0,118,0,118
,118,0,118,0,120
,118,-2,118,0,118
,120,0,120,0,118
,118,0,118,6,120
,118,0,118,0,120
,118,0,118,-2,120
,120,0,120,-2,118
,118,0,118,-2,118
,118,0,118,-2,120
,122,0,120,0,120
,118,0,118,-2,68
,118,6,118,-2,40
,118,0,118,-2,26
,118,0,120,-2,16
,84,0,120,-2,10
,50,0,118,0,6
,28,2,118,-2,4
,18,0,120,-2,2
,12,2,120,-2,2
,8,2,118,0,2
,4,2,118,-2,2
,4,2,120,-2,2
,2,120,118,-2,2
,2,118,118,-2,2
,2,120,120,-2,2
,2,118,118,-2,2
,2,120,118,2,0
,0,118,118,-2,2
,0,118,118,-2,0
,0,118,120,-2,0
,0,120,120,0,6
,0,118,118,0,0
,0,118,66,2,0
,0,118,38,0,0
,0,120,22,0,0
,0,120,14,0,0
,0,120,8,0,2
,0,120,6,0,-2
,2,120,4,-2,-2
,-2,118,2,0,0
,0,120,2,0,-2
,-2,118,0,0,-2
,-2,118,0,2,-2
,-2,120,0,0,-2
,0,120,2,0,-2
,-2,118,-2,0,-2
,-2,118,-2,0,-2
,-2,120,-2,2,-2
,-2,118,-2,2,-2
,-2,120,-2,2,120
,-2,118,-2,2,120
,-2,118,-2,2,120
,-2,120,-2,2,120
,118,118,-2,0,120
,120,118,-2,2,118
,120,118,-2,2,118
,118,120,-2,2,120
,120,118,-2,2,118
,120,118,-2,2,120
,120,118,-2,2,118
,118,120,-2,2,120
,118,118,-2,2,120
,118,118,-2,2,120
,120,120,-2,0,120
,118,118,-2,2,118
,118,120,0,2,124
,118,118,-2,2,120
,124,118,-2,2,118
,118,72,-2,2,118
,120,42,-2,2,118
,118,22,0,2,118
,120,14,0,2,120
,118,8,0,0,118
,120,4,2,0,118
,118,2,0,0,118
,118,2,0,0,118
,120,0,0,0,120
,120,-2,0,0,118
,118,0,0,2,120
,118,0,2,0,118
,118,-2,0,0,118
,118,-2,0,0,120
,120,-2,2,0,120
,120,-2,0,0,118
,118,0,0,0,118
,118,0,0,-2,120
,118,0,2,-2,118
,120,0,0,-2,120
,118,0,2,120,116
,120,0,2,120,62
,120,0,2,118,38
,118,0,2,118,24
,106,0,2,120,14
,60,0,2,118,10
,36,0,2,120,6
,22,0,2,118,4
,14,0,6,120,2
,10,0,2,118,2
,6,2,120,120,2
,4,0,120,118,2
,4,0,118,118,8
,2,2,118,122,2
,2,2,120,118,2
,2,2,118,120,2
,2,2,120,118,2
,2,2,118,118,2
,2,2,118,118,2
,2,2,118,118,2
,2,2,118,118,0
,0,2,118,120,0
,2,2,118,120,0
,0,2,118,120,0
,0,0,120,118,-2
,2,2,120,120,0
,0,118,118,120,0
,0,120,118,118,0
,0,118,118,118,0
,0,118,120,120,0
,0,120,118,120,0
,2,118,120,118,0
,0,118,118,118,0
,0,122,120,120,0
,0,120,120,118,0
,0,118,120,120,-2
,-2,118,118,124,-2
,2,120,124,118,-2
,-2,120,120,118,-2
,-2,120,118,120,-2
,-2,120,120,118,120
,-2,120,118,120,120
,-2,118,118,118,118
,-2,118,118,118,120
,118,118,118,118,120
,120,118,120,118,118
,120,118,120,120,118
,120,120,120,118,120
,120,118,118,118,118
,118,120,118,120,120
,118,120,118,118,120
,118,118,118,120,118
,120,118,118,118,118
,120,120,118,118,120
,120,118,120,118,120
,118,120,118,118,118
,120,120,120,120,118
,120,118,118,118,118
,118,120,118,118,118
,120,120,118,120,118
,122,118,122,118,118
,120,118,118,120,118
,120,124,118,120,120
,120,120,118,118,120
,118,118,118,120,120
